,train_lst,val_lst,val_acc_lst,lr_lst
0,5.56520617953644,5.2981198243174035,0.051518253155919486,0.01
1,5.276503505250443,5.132912566498334,0.07471852610030706,0.01
2,5.140990404307341,4.961939811543855,0.10440122824974413,0.01
3,5.010206618454798,4.879341912733252,0.12401910610713068,0.01
4,4.877634215999294,4.6327844469753074,0.15864892528147392,0.01
5,4.7616749395033295,4.729001010411919,0.13578983282156262,0.01
6,4.632908802725438,4.590236662842234,0.16717843739338112,0.01
7,4.549711967285724,4.45659087274474,0.19447287615148415,0.01
8,4.493275469787151,4.331648717761162,0.21494370522006143,0.01
9,4.3406761407746535,4.189171630666753,0.2338792221084954,0.01
10,4.2720103352588525,4.116168193709765,0.26663254861821906,0.01
11,4.176985859818093,4.083930127167612,0.27192084612760153,0.01
12,4.12031903571136,3.959378436416215,0.284373933810986,0.01
13,4.0314884183678314,3.8156707944092347,0.32207437734561584,0.01
14,4.004214137330433,3.7797142722345547,0.31542135789832826,0.01
15,3.9135120097757388,3.7512114105758223,0.32975093824633234,0.01
16,3.856074109244357,3.6803836399522183,0.3420334356874787,0.01
17,3.760060073424083,3.6464325570686,0.3486864551347663,0.01
18,3.7146219387485435,3.680693342351377,0.3474923234390993,0.01
19,3.630585867692054,3.6160118520483553,0.3604571818491982,0.01
20,3.599529446359752,3.512862953868021,0.3819515523712044,0.01
21,3.5693956340473734,3.523809034887006,0.38024564994882293,0.01
22,3.4645305808054223,3.4035801453136494,0.4109518935516889,0.01
23,3.4162984050688197,3.436026375678488,0.4049812350733538,0.01
24,3.3949272832249346,3.43537581540423,0.40242238143978165,0.01
25,3.3213811349594122,3.3797334061267637,0.4230638007505971,0.01
26,3.221965868176218,3.2995801656085937,0.44472876151484136,0.01
27,3.2895762116495995,3.269017377675739,0.4541112248379393,0.01
28,3.1866660987480477,3.2669673152280643,0.44933469805527126,0.01
29,3.1758447546952584,3.2065345481246537,0.4684408051859434,0.01
30,3.094121693825373,3.2717221722754144,0.4464346639372228,0.01
31,3.1164575134382133,3.2324261948420543,0.46519959058341864,0.01
32,3.024151266703946,3.1448731268684598,0.4841351074718526,0.01
